ciclo,id_eje,descripcion_eje,id_siglas,descripcion_siglas,id_proyecto,descripcion_proyecto,id_obra,descripcion_obra,id_municipio,latitud,longitud,descripcion_municipio,id_estatus,descripcion_estatus,importe_presupuestal_estatal_2020
2020,5,Desarrollo Ordenado y Sostenible,CEAG,Comisión Estatal del Agua de Guanajuato,Q0039,Agua y Drenaje para Localidades Suburbanas,0001,CONSTRUCCIÓN DE RED DE DISTRIBUCIÓN DE AGUA POTABLE (CUARTA ETAPA DE OCHO) EN LA LOCALIDAD DE CERANO (SAN JUAN CERANO) MUNICIPIO DE YURIRIA,046,20.108988,-101.387019,YURIRIA,1,Concluida,2814847.505
2020,5,Desarrollo Ordenado y Sostenible,CEAG,Comisión Estatal del Agua de Guanajuato,Q0039,Agua y Drenaje para Localidades Suburbanas,0002,CONSTRUCCIÓN DE RED DE DISTRIBUCIÓN DE AGUA POTABLE (TERCERA ETAPA DE OCHO) (CERANO),046,20.107166,-101.38762,YURIRIA,1,Concluida,1262675.18
2020,5,Desarrollo Ordenado y Sostenible,CEAG,Comisión Estatal del Agua de Guanajuato,Q0039,Agua y Drenaje para Localidades Suburbanas,0003,CONSTRUCCIÓN DE LÍNEA DE CONDUCCIÓN TANQUE LÍNEA DE ALIMENTACIÓN Y RED DE DISTRIBUCIÓN DEL  SISTEMA DE AGUA POTABLE (SEGUNDA ETAPA) EN LA LOCALIDAD DE SANTA DE ROSA DE LIMA VILLLAGRÁN GTO (SANTA ROSA),044,20.565607,-100.92457,VILLAGRÁN,1,Concluida,2348179.18
2020,5,Desarrollo Ordenado y Sostenible,CEAG,Comisión Estatal del Agua de Guanajuato,Q0039,Agua y Drenaje para Localidades Suburbanas,0004,REHABILITACIÓN DE LA PLANTA DE TRATAMIENTO,044,20.537356,-101.062118,VILLAGRÁN,1,Concluida,641228.96
2020,5,Desarrollo Ordenado y Sostenible,CEAG,Comisión Estatal del Agua de Guanajuato,Q0039,Agua y Drenaje para Localidades Suburbanas,0005,REHABILITACIÓN DE LA PLANTA DE TRATAMIENTO (SANTA ROSA),044,20.564746,-100.931902,VILLAGRÁN,1,Concluida,2399922.61
2020,5,Desarrollo Ordenado y Sostenible,CEAG,Comisión Estatal del Agua de Guanajuato,Q0039,Agua y Drenaje para Localidades Suburbanas,0006,AMPLIACIÓN Y REHABILITACIÓN DE RED DE DRENAJE SANITARIO (CUARTA ETAPA),037,20.931224,-101.471241,SILAO DE LA VICTORIA,1,Concluida,4907151.71
2020,5,Desarrollo Ordenado y Sostenible,CEAG,Comisión Estatal del Agua de Guanajuato,Q0039,Agua y Drenaje para Localidades Suburbanas,0007,AMPLIACIÓN Y REHABILITACIÓN DE RED DE DRENAJE SANITARIO (TERCERA ETAPA) (COMANJILLA Y SAN FRANCISCO (BAÑOS DE AGUA CALIENTE)),037,21.07388889,-101.4727778,SILAO DE LA VICTORIA,1,Concluida,576753.8
2020,5,Desarrollo Ordenado y Sostenible,CEAG,Comisión Estatal del Agua de Guanajuato,Q0039,Agua y Drenaje para Localidades Suburbanas,0008,CONSTRUCCIÓN DE LÍNEA DE ALIMENTACIÓN PRINCIPAL PARA EL SECTOR 2 EN LA LOCALIDAD DE SAN NICOLÁS DE LOS AGUSTINOS DEL MUNICIPIO DE SALVATIERRA GTO (SAN NICOLÁS DE LOS AGUSTINOS),028,20.246339,-100.96655,SALVATIERRA,1,Concluida,359171.03
2020,5,Desarrollo Ordenado y Sostenible,CEAG,Comisión Estatal del Agua de Guanajuato,Q0039,Agua y Drenaje para Localidades Suburbanas,0009,CONSTRUCCIÓN DE LINEAS DE CONDUCCIÓN REDES DE DISTRIBUCIÓN Y TANQUES PARA EL SISTEMA DE AGUA POTABLE  (ETAPA 3) (URIREO),028,20.215588,-100.84055,SALVATIERRA,1,Concluida,406713.23
2020,5,Desarrollo Ordenado y Sostenible,CEAG,Comisión Estatal del Agua de Guanajuato,Q0039,Agua y Drenaje para Localidades Suburbanas,0010,CONSTRUCCIÓN DE SISTEMA DE AGUA POTABLE (CUARTA ETAPA) (MARAVATÍO DEL ENCINAL),028,20.205565,-100.96361,SALVATIERRA,1,Concluida,2176417.5
